ruta,entregable,herramienta_inferida,historia,archivo,extension,ancho_px,alto_px
images/entregable_C/leonardo/H2_S08_leonardo_phoenix_v03.jpg,entregable_C,leonardo,H2,H2_S08_leonardo_phoenix_v03.jpg,.jpg,1184,896
images/entregable_C/leonardo/H2_S08_leonardo_phoenix_v04.jpg,entregable_C,leonardo,H2,H2_S08_leonardo_phoenix_v04.jpg,.jpg,1184,896
images/entregable_C/leonardo/H3_S01_leonardo_phoenix_v01.jpg,entregable_C,leonardo,H3,H3_S01_leonardo_phoenix_v01.jpg,.jpg,1376,768
images/entregable_C/leonardo/H3_S01_leonardo_phoenix_v02.jpg,entregable_C,leonardo,H3,H3_S01_leonardo_phoenix_v02.jpg,.jpg,1376,768
images/entregable_C/leonardo/H3_S01_leonardo_phoenix_v03.jpg,entregable_C,leonardo,H3,H3_S01_leonardo_phoenix_v03.jpg,.jpg,1376,768
images/entregable_C/leonardo/H3_S01_leonardo_phoenix_v04.jpg,entregable_C,leonardo,H3,H3_S01_leonardo_phoenix_v04.jpg,.jpg,1376,768
images/entregable_C/leonardo/H3_S07_leonardo_phoenix_v01.jpg,entregable_C,leonardo,H3,H3_S07_leonardo_phoenix_v01.jpg,.jpg,1376,768
images/entregable_C/leonardo/H3_S07_leonardo_phoenix_v02.jpg,entregable_C,leonardo,H3,H3_S07_leonardo_phoenix_v02.jpg,.jpg,1376,768
images/entregable_C/leonardo/H3_S07_leonardo_phoenix_v03.jpg,entregable_C,leonardo,H3,H3_S07_leonardo_phoenix_v03.jpg,.jpg,1376,768
images/entregable_C/leonardo/H3_S07_leonardo_phoenix_v04.jpg,entregable_C,leonardo,H3,H3_S07_leonardo_phoenix_v04.jpg,.jpg,1376,768
